# s/c    M_iso
0.12724881 0.33403789
0.12594794 0.33078060
0.12466185 0.32753437
0.12336098 0.32429919
0.12206011 0.32107502
0.12075924 0.31786182
0.11947315 0.31465957
0.11817228 0.31146822
0.11687141 0.30828774
0.11558532 0.30511811
0.11428445 0.30195929
0.11298358 0.29881125
0.11169749 0.29567395
0.11039662 0.29254736
0.10909575 0.28943145
0.10779488 0.28632619
0.10650879 0.28323154
0.10520792 0.28014747
0.10390705 0.27707395
0.10260618 0.27401094
0.10132009 0.27095841
0.10001922 0.26791632
0.09871835 0.26488464
0.09743226 0.26186332
0.09613139 0.25885234
0.09483052 0.25585165
0.09352965 0.25286122
0.09224356 0.24988099
0.09094269 0.24691093
0.08964182 0.24395100
0.08834095 0.24100115
0.08704008 0.23806133
0.08575399 0.23513150
0.08445312 0.23221159
0.08315225 0.22930157
0.08185138 0.22640137
0.08056529 0.22351093
0.07926442 0.22063019
0.07796355 0.21775909
0.07666268 0.21489755
0.07536180 0.21204552
0.07407572 0.20920290
0.07277485 0.20636963
0.07147398 0.20354561
0.07017310 0.20073077
0.06887223 0.19792499
0.06757136 0.19512818
0.06628528 0.19234025
0.06498440 0.18956106
0.06368353 0.18679051
0.06238266 0.18402846
0.06108179 0.18127477
0.05978092 0.17852932
0.05849483 0.17579193
0.05719396 0.17306244
0.05589309 0.17034068
0.05459222 0.16762646
0.05329135 0.16491958
0.05199048 0.16221982
0.05068961 0.15952695
0.04940352 0.15684073
0.04810265 0.15416088
0.04680178 0.15148712
0.04550091 0.14881915
0.04420004 0.14615664
0.04289917 0.14349923
0.04159830 0.14084653
0.04029743 0.13819814
0.03901134 0.13555361
0.03771047 0.13291246
0.03640960 0.13027415
0.03510873 0.12763813
0.03380786 0.12500378
0.03250698 0.12237043
0.03120611 0.11973735
0.02990524 0.11710373
0.02860437 0.11446872
0.02730350 0.11183134
0.02600263 0.10919056
0.02470176 0.10654522
0.02341567 0.10389403
0.02211480 0.10123559
0.02081393 0.09856834
0.01951306 0.09589051
0.01821219 0.09320017
0.01691132 0.09049510
0.01561045 0.08777285
0.01430958 0.08503061
0.01300871 0.08226518
0.01170784 0.07947291
0.01040697 0.07664956
0.00910609 0.07379025
