# s/c    M_iso
0.38943338 0.83600394
0.38814729 0.83547630
0.38686121 0.83495098
0.38557512 0.83444278
0.38428903 0.83397093
0.38298816 0.83355335
0.38170207 0.83319296
0.38041598 0.83286574
0.37912989 0.83254065
0.37784381 0.83220804
0.37655772 0.83187352
0.37527163 0.83154046
0.37398554 0.83120965
0.37269945 0.83087825
0.37139858 0.83053566
0.37011250 0.83017823
0.36882641 0.82982549
0.36754032 0.82950415
0.36625423 0.82922909
0.36496814 0.82899663
0.36368206 0.82878851
0.36238118 0.82858571
0.36109510 0.82837907
0.35980901 0.82816977
0.35852292 0.82795867
0.35723683 0.82773963
0.35595074 0.82751108
0.35466466 0.82728568
0.35336379 0.82707792
0.35207770 0.82689471
0.35079161 0.82672837
0.34950552 0.82656621
0.34821943 0.82641015
0.34693335 0.82625491
0.34563247 0.82608662
0.34434639 0.82590166
0.34306030 0.82569595
0.34177421 0.82546778
0.34048812 0.82521629
0.33918725 0.82494026
0.33790116 0.82463838
0.33661508 0.82430652
0.33532899 0.82394489
0.33404290 0.82356019
0.33275681 0.82316528
0.33145594 0.82276475
0.33016985 0.82235115
0.32888376 0.82190971
0.32759768 0.82141639
0.32629681 0.82084494
0.32501072 0.82017784
0.32372463 0.81940682
0.32243854 0.81854145
0.32115245 0.81760967
0.31985158 0.81663196
0.31856549 0.81562647
0.31727941 0.81460974
0.31599332 0.81357978
0.31469245 0.81251805
0.31340636 0.81141057
0.31212027 0.81025603
0.31083418 0.80904992
0.30953331 0.80777024
0.30824722 0.80638733
0.30696114 0.80488410
0.30567505 0.80326842
0.30437418 0.80157295
0.30308809 0.79983299
0.30180200 0.79807215
0.30051591 0.79628653
0.29921504 0.79444929
0.29792895 0.79253457
0.29664287 0.79052956
0.29534200 0.78844590
0.29405591 0.78631788
0.29276982 0.78417132
0.29148373 0.78201753
0.29018286 0.77984604
0.28889677 0.77760449
0.28761068 0.77523562
0.28630981 0.77274986
0.28502373 0.77020089
0.28373764 0.76764488
0.28243677 0.76510042
0.28115068 0.76252085
0.27986459 0.75985829
0.27857850 0.75708654
0.27727763 0.75420105
0.27599154 0.75122029
0.27470546 0.74819046
0.27340459 0.74515604
0.27211850 0.74213045
0.27083241 0.73909403
0.26953154 0.73599752
0.26824545 0.73279535
0.26695936 0.72946885
0.26565849 0.72603802
0.26437240 0.72254921
0.26307153 0.71902967
0.26178545 0.71548351
0.26049936 0.71190856
0.25919849 0.70829584
0.25791240 0.70463447
0.25662631 0.70091637
0.25532544 0.69714333
0.25403935 0.69332287
0.25275326 0.68946737
0.25145239 0.68558999
0.25016630 0.68169307
0.24886543 0.67777533
0.24757935 0.67383428
0.24629326 0.66986453
0.24499239 0.66586489
0.24370630 0.66183404
0.24240543 0.65776462
0.24111934 0.65365308
0.23983325 0.64950742
0.23853238 0.64534367
0.23724629 0.64118065
0.23594542 0.63703125
0.23465933 0.63289493
0.23337325 0.62876149
0.23207238 0.62461825
0.23078629 0.62045311
0.22948542 0.61625476
0.22819933 0.61201656
0.22689846 0.60773628
0.22561237 0.60342803
0.22432628 0.59912315
0.22302541 0.59483704
0.22173932 0.59056800
0.22043845 0.58630798
0.21915236 0.58204669
0.21785149 0.57777681
0.21656541 0.57349793
0.21526454 0.56921929
0.21397845 0.56495278
0.21267758 0.56071669
0.21139149 0.55652542
0.21009062 0.55235516
0.20880453 0.54816209
0.20750366 0.54391428
0.20621757 0.53963681
0.20493148 0.53542749
0.20363061 0.53132724
0.20234452 0.52731260
0.20104365 0.52335467
0.19975757 0.51941908
0.19845669 0.51550654
0.19717061 0.51163564
0.19586974 0.50779546
0.19458365 0.50395035
0.19328278 0.50003820
0.19199669 0.49606250
0.19069582 0.49212487
0.18939495 0.48828701
0.18810886 0.48454222
0.18680799 0.48084129
0.18552190 0.47713638
0.18422103 0.47342040
0.18293494 0.46970921
0.18163407 0.46602280
0.18034798 0.46236705
0.17904711 0.45874020
0.17776102 0.45514055
0.17646015 0.45156511
0.17517407 0.44801510
0.17387319 0.44449347
0.17257232 0.44100443
0.17128624 0.43755176
0.16998537 0.43414022
0.16869928 0.43077185
0.16739841 0.42744761
0.16611232 0.42414219
0.16481145 0.42079457
0.16351058 0.41733518
0.16222449 0.41376335
0.16092362 0.41018560
0.15963753 0.40666860
0.15833666 0.40319651
0.15703579 0.39973659
0.15574970 0.39628064
0.15444883 0.39285930
0.15316274 0.38947720
0.15186187 0.38610277
0.15056100 0.38271911
0.14927491 0.37935230
0.14797404 0.37604016
0.14668795 0.37279766
0.14538708 0.36962543
0.14408621 0.36648108
0.14280012 0.36328335
0.14149925 0.36000187
0.14019838 0.35666664
0.13891229 0.35332181
0.13761142 0.34999240
0.13632534 0.34668166
0.13502447 0.34338590
0.13372359 0.34010156
0.13243751 0.33683465
0.13113664 0.33359679
0.12983577 0.33038008
0.12854968 0.32878511
0.12724881 0.32560323
0.12594794 0.32243214
0.12466185 0.31927183
0.12336098 0.31612229
0.12206011 0.31298349
0.12075924 0.30985544
0.11947315 0.30673812
0.11817228 0.30363152
0.11687141 0.30053562
0.11558532 0.29745042
0.11428445 0.29437589
0.11298358 0.29131202
0.11169749 0.28825881
0.11039662 0.28521623
0.10909575 0.28218428
0.10779488 0.27916293
0.10650879 0.27615217
0.10520792 0.27315197
0.10390705 0.27016234
0.10260618 0.26718323
0.10132009 0.26421464
0.10001922 0.26125653
0.09871835 0.25830890
0.09743226 0.25537170
0.09613139 0.25244492
0.09483052 0.24952853
0.09352965 0.24662250
0.09224356 0.24372678
0.09094269 0.24084136
0.08964182 0.23796619
0.08834095 0.23510123
0.08704008 0.23224644
0.08575399 0.22940178
0.08445312 0.22656719
0.08315225 0.22374262
0.08185138 0.22092801
0.08056529 0.21812331
0.07926442 0.21532845
0.07796355 0.21254336
0.07666268 0.20976796
0.07536180 0.20700218
0.07407572 0.20424592
0.07277485 0.20149910
