# s/c    P_stat_mean   P_stat_std
0.67053971 0.49267883 0.00622518
0.67181102 0.49224080 0.00620415
0.67309711 0.49178095 0.00619021
0.67436841 0.49130989 0.00618039
0.67565450 0.49084745 0.00616823
0.67692581 0.49041106 0.00615032
0.67821189 0.49000715 0.00612632
0.67949798 0.48963783 0.00609649
0.68076929 0.48930572 0.00606127
0.68205538 0.48901303 0.00602005
0.68332668 0.48875936 0.00597316
0.68461277 0.48853416 0.00592453
0.68589886 0.48831545 0.00588159
0.68717016 0.48808431 0.00584969
0.68845625 0.48783581 0.00582854
0.68972756 0.48757581 0.00581517
0.69101364 0.48731246 0.00580638
0.69228495 0.48704995 0.00580075
0.69357104 0.48679144 0.00579761
0.69484234 0.48653937 0.00579598
0.69612843 0.48629179 0.00579668
0.69741452 0.48604463 0.00580106
0.69868582 0.48579235 0.00581034
0.69997191 0.48553206 0.00582510
0.70124322 0.48526789 0.00584343
0.70252931 0.48500883 0.00586227
0.70380061 0.48476230 0.00587964
0.70508670 0.48452693 0.00589680
0.70635801 0.48430002 0.00591456
0.70764409 0.48408272 0.00593175
0.70893018 0.48387762 0.00594689
0.71020149 0.48368788 0.00595861
0.71148758 0.48351661 0.00596571
0.71275888 0.48336517 0.00596775
0.71404497 0.48322801 0.00596778
0.71531627 0.48309473 0.00596977
0.71660236 0.48295330 0.00597747
0.71787367 0.48279845 0.00599142
0.71915976 0.48263618 0.00600750
0.72043106 0.48247410 0.00602244
0.72171715 0.48231729 0.00603465
0.72298845 0.48216797 0.00604389
0.72427454 0.48202526 0.00605111
0.72554585 0.48188805 0.00605701
0.72683194 0.48175718 0.00606157
0.72810324 0.48163742 0.00606268
0.72938933 0.48153480 0.00605749
0.73066064 0.48145167 0.00604508
0.73194672 0.48138545 0.00602688
0.73321803 0.48132891 0.00600631
0.73450412 0.48127512 0.00598587
0.73577542 0.48122069 0.00596628
0.73706151 0.48116520 0.00594695
0.73833282 0.48110974 0.00592674
0.73961890 0.48105554 0.00590478
0.74089021 0.48100381 0.00588040
0.74217630 0.48095584 0.00585299
0.74344760 0.48091357 0.00582176
0.74473369 0.48087864 0.00578619
0.74600500 0.48085181 0.00574621
0.74729108 0.48083257 0.00570228
0.74856239 0.48081855 0.00565559
0.74984848 0.48080633 0.00560755
0.75111978 0.48079228 0.00555942
0.75240587 0.48077333 0.00551203
0.75367718 0.48074728 0.00546582
0.75496327 0.48071253 0.00542095
0.75623457 0.48066804 0.00537739
0.75752066 0.48061319 0.00533502
0.75879196 0.48054766 0.00529363
0.76007805 0.48047126 0.00525302
0.76134936 0.48038382 0.00521301
0.76263545 0.48028481 0.00517355
0.76390675 0.48017312 0.00513476
0.76517806 0.48004696 0.00509693
0.76646414 0.47990328 0.00506089
0.76773545 0.47973827 0.00502758
0.76902154 0.47954855 0.00499781
0.77029284 0.47933362 0.00497147
0.77157893 0.47909699 0.00494713
0.77285024 0.47884510 0.00492275
0.77413633 0.47858530 0.00489643
0.77540763 0.47832283 0.00486742
0.77669372 0.47806204 0.00483529
0.77796502 0.47780697 0.00479964
0.77923633 0.47756045 0.00476033
0.78052242 0.47732325 0.00471800
0.78179372 0.47709451 0.00467371
