# s/c    M_iso_mean    M_iso_std
0.88777034 0.94381645 0.00148728
0.88904164 0.94329611 0.00150809
0.89032773 0.94277682 0.00153028
0.89159904 0.94226164 0.00155336
0.89287034 0.94175356 0.00157700
0.89415643 0.94125635 0.00160039
0.89542774 0.94077300 0.00162281
0.89669904 0.94030408 0.00164417
0.89797035 0.93984832 0.00166463
0.89925643 0.93940354 0.00168470
0.90052774 0.93896629 0.00170519
0.90179905 0.93853363 0.00172630
0.90308513 0.93810277 0.00174866
0.90435644 0.93767039 0.00177314
0.90562774 0.93723315 0.00180067
0.90691383 0.93678796 0.00183220
0.90818514 0.93633208 0.00186872
0.90945644 0.93586425 0.00191061
0.91072775 0.93538475 0.00195774
0.91201384 0.93489600 0.00200908
0.91328514 0.93440410 0.00206160
0.91455645 0.93391487 0.00211311
0.91582775 0.93343417 0.00216135
0.91711384 0.93296817 0.00220390
0.91838515 0.93252252 0.00223876
0.91965645 0.93210117 0.00226457
0.92094254 0.93170645 0.00228057
0.92221385 0.93133744 0.00228715
0.92348515 0.93098630 0.00228808
0.92475646 0.93064376 0.00228749
0.92604254 0.93030166 0.00228887
0.92731385 0.92995483 0.00229422
0.92858516 0.92960193 0.00230346
0.92985646 0.92924282 0.00231605
0.93114255 0.92887766 0.00233132
0.93241385 0.92850626 0.00234895
0.93368516 0.92812980 0.00236766
0.93495647 0.92775061 0.00238572
0.93624255 0.92737173 0.00240098
0.93751386 0.92699776 0.00241097
0.93878516 0.92663433 0.00241418
0.94005647 0.92628935 0.00240762
0.94134256 0.92596694 0.00239047
0.94261386 0.92566232 0.00236653
0.94388517 0.92536704 0.00234054
0.94515647 0.92507353 0.00231624
0.94644256 0.92477724 0.00229542
0.94771387 0.92447429 0.00227958
0.94898517 0.92416062 0.00227036
0.95025648 0.92383312 0.00226897
0.95154257 0.92348839 0.00227697
0.95281387 0.92312421 0.00229546
0.95408518 0.92273899 0.00232548
0.95535648 0.92233511 0.00236578
0.95664257 0.92192314 0.00241016
0.95791388 0.92151751 0.00245089
0.95918518 0.92113198 0.00248091
0.96045649 0.92077270 0.00249749
0.96174258 0.92043681 0.00250303
0.96301388 0.92011789 0.00250141
0.96428519 0.91980940 0.00249578
0.96555649 0.91950637 0.00248875
0.96682780 0.91920342 0.00248334
0.96811389 0.91889475 0.00248261
0.96938519 0.91857581 0.00248903
0.97065650 0.91824369 0.00250396
0.97192780 0.91789708 0.00252794
0.97321389 0.91753636 0.00256059
0.97448520 0.91716273 0.00260120
0.97575650 0.91677845 0.00264856
0.97702781 0.91638842 0.00269999
0.97829911 0.91599769 0.00275289
0.97958520 0.91561152 0.00280457
0.98085651 0.91523408 0.00285305
0.98212781 0.91486713 0.00289762
0.98339912 0.91451071 0.00293835
0.98468520 0.91416269 0.00297654
0.98595651 0.91382094 0.00301326
0.98722781 0.91348312 0.00304962
0.98849912 0.91314639 0.00308706
0.98977043 0.91280800 0.00312690
